"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","1","2","3","4","5"
"no",9,"A","L","F",0.0823535933256553,0.483347851784445,0.330241835928448,0.0901278454454979,0.0139288735159538
"yes",10,"A","L","F",0.178522567048468,0.580757188410005,0.194953114186653,0.0399676187220239,0.00579951163285009
"no",10,"A","L","F",0.0698418279070571,0.451645611362738,0.356617914829179,0.105291703891561,0.0166029420094643
"yes",11,"A","L","F",0.153849685302332,0.571350197084367,0.220582677832784,0.0472935779559465,0.00692386182457072
"no",11,"A","L","F",0.05910850053039,0.417825685325132,0.380761062174512,0.122524671058335,0.0197800809116312
"yes",12,"A","L","F",0.132038652472353,0.556237362932263,0.247600840936309,0.0558587660471789,0.00826437761189514
"no",12,"A","L","F",0.049936121717641,0.382808876150193,0.401766725047753,0.141937639976845,0.0235506371075681
"yes",1,"L","L","F",0.525251492294099,0.416125490123066,0.0492900273732965,0.00818849516037867,0.00114449504916025
"no",1,"L","L","F",0.276549931029686,0.570737717479275,0.126169436606354,0.023237605700778,0.00330530918390726
"yes",2,"L","L","F",0.480699708740379,0.4500256128995,0.0581399753086549,0.00976708353844191,0.00136761951302378
"no",2,"L","L","F",0.242325564168962,0.580433391188735,0.145679924066603,0.0276130915356402,0.00394802904005953
"yes",3,"L","L","F",0.436452749747139,0.481853484635164,0.0684141954674775,0.0116453982207898,0.00163417192942983
"no",3,"L","L","F",0.211100738987185,0.584141820850946,0.167265911182731,0.0327763939629722,0.00471513501616516
"yes",4,"L","L","F",0.393194818250814,0.510695825734271,0.0802783695258994,0.013878411998285,0.00195257449073061
"no",4,"L","L","F",0.182927983618863,0.581748137135278,0.190838791171824,0.0388546401678737,0.00563044790616152
"yes",5,"L","L","F",0.351549739395898,0.535693896603395,0.0938931264649651,0.0165303677934034,0.00233286974233882
"no",5,"L","L","F",0.157763176476458,0.573326481545778,0.21619858103904,0.0459895175767591,0.00672224336196481
"yes",6,"L","L","F",0.312047234559486,0.556086634495705,0.109403104338664,0.0196759998372859,0.00278702676885989
"no",6,"L","L","F",0.135486170529782,0.559137760665964,0.243015558125006,0.0543364710970892,0.00802403958215958
"yes",7,"L","L","F",0.275100382418557,0.571245907073822,0.126922641169616,0.0234017664771125,0.00332930286089206
"no",7,"L","L","F",0.115921845887536,0.539621246790321,0.270818763706857,0.0640626387467143,0.00957550486857062
"yes",8,"L","L","F",0.240995646185652,0.580702567400478,0.146518100341714,0.0278070163816139,0.00397666969054233
"no",8,"L","L","F",0.0988595685271801,0.515378823097721,0.298995050683349,0.0753430629210426,0.0114234947707077
"yes",9,"L","L","F",0.209894714628285,0.584163644979166,0.168187355701451,0.0330049706517727,0.00474931403932433
"no",9,"L","L","F",0.0840698364725386,0.487150544203473,0.326801737210877,0.0883546569626217,0.0136232251504891
"yes",10,"L","L","F",0.181845810692093,0.581521933271296,0.19183767964358,0.0391233523591911,0.00567122403384013
"no",10,"L","L","F",0.0713175912465786,0.455780953133909,0.353394476917757,0.103267397130674,0.0162395815710812
"yes",11,"L","L","F",0.156801305265089,0.572859256749268,0.217264133871991,0.0463044315986273,0.00677087251502573
"no",11,"L","L","F",0.0603721880790247,0.422177147017193,0.377869822716684,0.120232286295181,0.019348555891918
"yes",12,"L","L","F",0.134638408537031,0.558443989407557,0.244131413214268,0.0547041794516127,0.00808200938953152
"no",12,"L","L","F",0.0510143441400373,0.387261468098512,0.399319558326413,0.139365842940299,0.023038786494739
"yes",1,"A","A","V",0.552247471990236,0.39484644159647,0.0445260411604644,0.0073532754253377,0.00102676982749206
"no",1,"A","A","V",0.298808833277693,0.562014807515024,0.115301259592397,0.0209091216493845,0.00296597796550202
"yes",2,"A","A","V",0.507855368718229,0.429556574546793,0.0525884056231035,0.00877267969007389,0.00122697142180039
"no",2,"A","A","V",0.262830588543956,0.57522295600341,0.133542810740963,0.0248606955501648,0.00354294916150621
"yes",3,"A","A","V",0.463339046233377,0.46275735681054,0.0619750852403247,0.0104623602912974,0.00146615142446138
"no",3,"A","A","V",0.229764830276925,0.582605284846443,0.153868445510301,0.0295297572677649,0.00423168209856584
"yes",4,"A","A","V",0.419399503059288,0.493525608606641,0.0728507984278495,0.0124722156420444,0.001751874264177
"no",4,"A","A","V",0.19973185802468,0.583933091120925,0.176246872444334,0.0350345558932048,0.00505362251685615
"yes",5,"A","A","V",0.376701957740514,0.520963832245673,0.0853803503453685,0.014860697765254,0.00209316190318987
"no",5,"A","A","V",0.172744123024013,0.579165248593166,0.200548444618608,0.0415079387590481,0.00603424500516458
"yes",6,"A","A","V",0.335836926338913,0.544246696340892,0.0997196062914267,0.0176960008259517,0.00250077020281714
"no",6,"A","A","V",0.148725270465042,0.568449448619366,0.226524384140689,0.0490971236043761,0.00720377317052656
"yes",7,"A","A","V",0.297290557791868,0.562661371703846,0.116003260629741,0.0210572940988968,0.00298751577564849
"no",7,"A","A","V",0.127531223379465,0.552117652650903,0.253790657861962,0.057962453245455,0.00859801286221484
"yes",8,"A","A","V",0.261426964773556,0.575639245334961,0.134329188178716,0.025035939990787,0.00356866172198012
"no",8,"A","A","V",0.108970807962812,0.5306749881587,0.281820178029286,0.068274716511515,0.0102593093376875
"yes",9,"A","A","V",0.228483059463604,0.58277840202465,0.154739561980875,0.0297366048497522,0.00426237168111832
"no",9,"A","A","V",0.092824216640909,0.504780737107493,0.30994686277088,0.0802105464672667,0.0122376370134516
"yes",10,"A","A","V",0.198574435598888,0.583857673928055,0.177199521241412,0.0352781266155618,0.00509024261608282
"no",10,"A","A","V",0.0788583808365861,0.475220280229014,0.337384148492449,0.0939453642704097,0.0145918261715413
"yes",11,"A","A","V",0.171709535345567,0.578843632807714,0.201574956736184,0.0417939475231982,0.00607792758733672
"no",11,"A","A","V",0.0668389558920688,0.442867969473733,0.36325879489525,0.109643355938284,0.0173909238006641
"yes",12,"A","A","V",0.147808832325154,0.567891598071457,0.227611857360975,0.0494318519465975,0.00725586029581538
"no",12,"A","A","V",0.0565390604652123,0.4086426506009,0.386658523323663,0.127444091132625,0.0207156744776003
"yes",1,"L","A","V",0.557803733893456,0.39040620330844,0.0435949170885969,0.00719119506620747,0.00100395064329972
"no",1,"L","A","V",0.303543845598529,0.559953353437385,0.113146435165999,0.0204561793344479,0.0029001864636391
"yes",2,"L","A","V",0.513477191538425,0.42524179604962,0.051501643833972,0.00857966032627056,0.00119970825171256
"no",2,"L","A","V",0.267212743363384,0.57387101965486,0.131126916583761,0.0243249166774133,0.0034644037205821
"yes",3,"L","A","V",0.468937631916245,0.458683875727877,0.0607122533704751,0.0102326576561863,0.00143358132921645
"no",3,"L","A","V",0.233770510867421,0.582004750653866,0.151189563710907,0.0288972435745637,0.00413793119324202
"yes",4,"L","A","V",0.424887509501872,0.489809478550083,0.0713909570943871,0.0121990870396402,0.0017129678140172
"no",4,"L","A","V",0.203352183475349,0.584102560849671,0.173313914626453,0.034289588766004,0.00494175228252336
"yes",5,"L","A","V",0.381998849060379,0.517715217494385,0.0837029846486991,0.0145362572803321,0.00204669151620485
"no",5,"L","A","V",0.175982843271333,0.580099473581023,0.197383933887059,0.0406329534358157,0.00590079582476954
"yes",6,"L","A","V",0.340873453161337,0.541564274425729,0.0978059337534258,0.0173110660004286,0.00244527265907934
"no",6,"L","A","V",0.151596191701505,0.570119486711926,0.223166892474408,0.0480727862842386,0.0070446428279225
"yes",7,"L","A","V",0.302011873605511,0.560627687536046,0.113837961236481,0.0206012297013908,0.00292124792057069
"no",7,"L","A","V",0.130055529144409,0.554471779107943,0.25029645910729,0.0567678878367179,0.0084083448036395
"yes",8,"L","A","V",0.265794155100263,0.574317223105385,0.131902565572316,0.0244965079795655,0.00348954824246939
"no",8,"L","A","V",0.111174548974673,0.53364050271783,0.278263645662184,0.0668879378875735,0.01003336475774
"yes",9,"L","A","V",0.232473138425612,0.582208999746642,0.152050083782045,0.0290998343371365,0.00416794370856421
"no",9,"L","A","V",0.0947361395496382,0.508266844674786,0.306419200760214,0.0786091651542449,0.0119686498611162
"yes",10,"L","A","V",0.202179081900299,0.584058528806909,0.174256599699085,0.0345282238024582,0.00497756579124897
"no",10,"L","A","V",0.0805081744931044,0.479122144977291,0.333990209444462,0.0921076302343521,0.0142718408507911
"yes",11,"L","A","V",0.174932960214265,0.579808524115286,0.198401724231041,0.0409132733095631,0.00594351812984462
"no",11,"L","A","V",0.0682559244000787,0.44707185828247,0.360111998858606,0.107549602013279,0.0170106164455652
"yes",12,"L","A","V",0.150665194078133,0.569590633282345,0.22424758091282,0.0484010041474051,0.00709558757929629
"no",12,"L","A","V",0.0577511873595203,0.413031842553399,0.38387419571417,0.125078613996514,0.0202641603763969
"yes",1,"A","L","V",0.528531432003757,0.41356748210217,0.0486889696944208,0.00808256472576541,0.00112955147388738
"no",1,"A","L","V",0.279190150857007,0.569792242337001,0.124812560314471,0.0229428023056855,0.00326224418583543
"yes",2,"A","L","V",0.483985061100692,0.447583830153214,0.0574403552818282,0.00964098690700588,0.0013497665572596
"no",2,"A","L","V",0.244749583213497,0.579919998257191,0.144168998987367,0.0272647967826003,0.0038966227593441
"yes",3,"A","L","V",0.439691743256738,0.479596175549244,0.0676038219310047,0.0114954142547447,0.00161284500826897
"no",3,"A","L","V",0.213300343164585,0.584076414613634,0.165603648077492,0.0323658070327737,0.00465378711151554
"yes",4,"A","L","V",0.396338561296632,0.508689078703669,0.0793450772395559,0.0137001825135796,0.00192710024656362
"no",4,"A","L","V",0.184902839233637,0.582132743277759,0.189035279715611,0.0383718802734037,0.00555725749958913
"yes",5,"A","L","V",0.354555066842665,0.533998221347273,0.0928254569718594,0.0163188094123705,0.00230244542583224
"no",5,"A","L","V",0.159519397445407,0.574149186455259,0.214272816466037,0.0454236442701674,0.00663495536312864
"yes",6,"A","L","V",0.314878845210196,0.554754020420589,0.108191225774229,0.0194252127393365,0.00275069585564858
"no",6,"A","L","V",0.137034752134234,0.560373076623382,0.240996607214009,0.0536755814212971,0.0079199826070776
"yes",7,"A","L","V",0.277732076136072,0.570317531380951,0.125559521651161,0.0231049445528843,0.00328592627893221
"no",7,"A","L","V",0.117277146018357,0.541230965514046,0.268746296118461,0.0632940723958834,0.00945151995325255
"yes",8,"A","L","V",0.243410635703744,0.580207187260289,0.145000919309268,0.0274563657700049,0.0039248919566931
"no",8,"A","L","V",0.100037957649039,0.517313460970023,0.296918975219568,0.0744537519085317,0.0112758542528393
"yes",9,"A","L","V",0.212085130716472,0.584116606655607,0.166519092176769,0.0325916469201429,0.00468752353101021
"no",9,"A","L","V",0.0850885804924257,0.489351462114229,0.324780756674624,0.0873316593008022,0.0134475414179195
"yes",10,"A","L","V",0.183811611611074,0.581924693576198,0.190028757478487,0.0386374307736477,0.0055975065605931
"no",10,"A","L","V",0.0721939858028354,0.458183146798592,0.351493509156895,0.102098652320122,0.0160307059215556
"yes",11,"A","L","V",0.15854883434511,0.573699339548835,0.21533393876156,0.0457349300269678,0.00668295731752711
"no",11,"A","L","V",0.0611229313870391,0.424712570701797,0.376156408415061,0.118907620894606,0.0191004686014968
"yes",12,"A","L","V",0.136178826718356,0.559695369029491,0.242109438291942,0.0540391592616435,0.00797720669856783
"no",12,"A","L","V",0.0516551174797649,0.389862617872581,0.397859550484651,0.137878233701035,0.0227444804619675
"yes",1,"L","L","V",0.534133727230213,0.409180270681531,0.0476769776714717,0.00790457384615062,0.00110445057063335
"no",1,"L","L","V",0.283740080114872,0.56810419054797,0.122518709813367,0.0224471176092166,0.0031899019145738
"yes",2,"L","L","V",0.489605520644242,0.443383714326831,0.0562618900632561,0.00942909646747636,0.0013197784981952
"no",2,"L","L","V",0.248932074815397,0.578966727662018,0.141611876712248,0.0266790542800421,0.00381026653029515
"yes",3,"L","L","V",0.445241654727149,0.475699876971894,0.0662380843666041,0.0112433626267363,0.00157702130761628
"no",3,"L","L","V",0.217099890062066,0.58388745760373,0.162786783379642,0.0316751415471396,0.00455072740742213
"yes",4,"L","L","V",0.401733603418294,0.505210236735525,0.077771216808354,0.0134006333970467,0.00188430964078057
"no",4,"L","L","V",0.188317626051332,0.582713952076714,0.185974540390993,0.0375595821096211,0.00543429937133999
"yes",5,"L","L","V",0.359720269322395,0.531041491743069,0.0910236977799463,0.0159632019468146,0.00225133920777454
"no",5,"L","L","V",0.162558894144604,0.575482558060066,0.210999056434797,0.0444711833519703,0.00648830800856204
"yes",6,"L","L","V",0.319752383849499,0.552409946869608,0.106144396680307,0.0190036057285196,0.00268966687206607
"no",6,"L","L","V",0.139717043420332,0.562417301526911,0.2375577422671,0.0525627580625883,0.00774515472306869
"yes",7,"L","L","V",0.28226754849617,0.5686585094531,0.123255019363738,0.0226058621513925,0.0032130605356
"no",7,"L","L","V",0.119626315457202,0.543922796214341,0.265208341874172,0.0619993469786501,0.00924319947563434
"yes",8,"L","L","V",0.247577746840169,0.579284601387986,0.14243308404248,0.0268666560845716,0.00383791164479375
"no",8,"L","L","V",0.102081744116687,0.520570074111704,0.293365595314758,0.0729548150840881,0.0110277713727628
"yes",9,"L","L","V",0.215868970701774,0.583959038288997,0.163691900405094,0.0318963704412133,0.0045837201629213
"no",9,"L","L","V",0.0868564257466215,0.493073964825005,0.321310985111257,0.0856063100278349,0.0131523142892815
"yes",10,"L","L","V",0.187210874309002,0.58253702277046,0.18695863757213,0.0378198025523597,0.00547366279604866
"no",10,"L","L","V",0.0737155115723954,0.462261239439676,0.348217530465237,0.100126049159176,0.0156796693635161
"yes",11,"L","L","V",0.161573392967871,0.575062599085911,0.212052403876617,0.0447763480773083,0.00653525599229232
"no",11,"L","L","V",0.0624268282701339,0.429030156054645,0.373189570888281,0.116669957288593,0.0186834874983474
"yes",12,"L","L","V",0.138847059882973,0.561767323845197,0.238665129182266,0.0529193615225114,0.00780112556705204
"no",12,"L","L","V",0.0527683949876381,0.394303909775781,0.395315088979226,0.13536285460448,0.0222497516528743
