codeUC;saison;verger;variete;nature;arbre;UCmere;nombreApicale;nombreLaterale;croissance;orientation;hauteur;positionUC1;positionUC;PUCM;PUCGM;diamUCM1;diamUCM2;diamAxeI;longueurAxeSec;date;stadeInflo;longueurInflo;DFInflo;ceci;obs
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;23/7/10 10:40;C/D1;;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;25/7/10 12:20;D1;3,5;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;26/7/10 11:25;D1/D2;3,8;FD1;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;27/7/10 13:55;D2;4,3;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;28/7/10 10:10;D2;5;FD2;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;29/7/10 11:45;E;6;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;30/7/10 10:30;E;7;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;1/8/10 11:30;E;9,9;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;2/8/10 13:00;E;11,5;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;3/8/10 12:00;E;13;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;4/8/10 12:00;E;14,9;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;5/8/10 11:50;E;16,8;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;6/8/10 11:50;E;18,6;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;7/8/10 16:30;E;21,3;FE;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;9/8/10 11:40;F;23,9;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;10/8/10 11:50;F;25,9;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;11/8/10 11:40;F;26,7;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;13/8/10 14:00;F;29,2;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;15/8/10 14:30;F;31;;;
