"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"11-12","3","1","0","2",2.27885642004108e-07,0
"1-2-3","4","1","0","2",3.5187942426505e-07,0
"4","4","1","0","2",2.01516214171976e-07,0
"5-6","4","1","0","2",3.29606825382362e-07,0
"7-8-9","4","1","0","2",1.37879687346889e-07,0
"10","4","1","0","2",7.96744390692054e-08,0
"11-12","4","1","0","2",1.19961001081375e-13,0
"1-2-3","5","1","0","2",0.858153534182553,0
"4","5","1","0","2",0.776019543526071,0
"5-6","5","1","0","2",0.850006201208165,0
"7-8-9","5","1","0","2",0.703314283947166,0
"10","5","1","0","2",0.578031514292601,0
"11-12","5","1","0","2",2.06248897574487e-06,0
"1-2-3","6","1","0","2",3.4542113148754e-07,0
"4","6","1","0","2",1.97817643545533e-07,0
"5-6","6","1","0","2",3.23557317285172e-07,0
"7-8-9","6","1","0","2",1.35349083069927e-07,0
"10","6","1","0","2",7.82121171589009e-08,0
"11-12","6","1","0","2",1.17759270940155e-13,0
"1-2-3","1","0","1","2",0.335939173028305,12
"4","1","0","1","2",0.224634042940993,37
"5-6","1","0","1","2",0.321512042579705,137
"7-8-9","1","0","1","2",0.165432419448325,103
"10","1","0","1","2",0.102773235837131,11
"11-12","1","0","1","2",1.72464124365948e-07,2
"1-2-3","2","0","1","2",0.473179022166174,0
"4","2","0","1","2",0.339660867666484,0
"5-6","2","0","1","2",0.45691335922922,0
"7-8-9","2","0","1","2",0.260322255494858,0
"10","2","0","1","2",0.169000570814637,0
"11-12","2","0","1","2",3.0620222711588e-07,0
"1-2-3","3","0","1","2",0.408398881186251,1
"4","3","0","1","2",0.283329194946336,0
"5-6","3","0","1","2",0.392700137728934,0
"7-8-9","3","0","1","2",0.212906224736147,0
"10","3","0","1","2",0.135178348065905,0
"11-12","3","0","1","2",2.3534312210301e-07,0
"1-2-3","4","0","1","2",3.63394557226337e-07,0
"4","4","0","1","2",2.08110763896576e-07,0
"5-6","4","0","1","2",3.40393095464661e-07,0
"7-8-9","4","0","1","2",1.42391753622611e-07,0
"10","4","0","1","2",8.22817583784384e-08,0
"11-12","4","0","1","2",1.23886684950181e-13,0
"1-2-3","5","0","1","2",0.862028168032811,0
"4","5","0","1","2",0.7815666543004,0
"5-6","5","0","1","2",0.854065539023708,0
"7-8-9","5","0","1","2",0.709989095481005,0
"10","5","0","1","2",0.585865241452698,0
"11-12","5","0","1","2",2.1299830978587e-06,0
"1-2-3","6","0","1","2",3.56724919117504e-07,0
"4","6","0","1","2",2.04291158826212e-07,0
"5-6","6","0","1","2",3.34145619360218e-07,0
"7-8-9","6","0","1","2",1.39778336185575e-07,0
"10","6","0","1","2",8.07715824776994e-08,0
"11-12","6","0","1","2",1.21612903922249e-13,0
"1-2-3","1","1","1","2",0.359691913572729,0
"4","1","1","1","2",0.243401487696277,0
"5-6","1","1","1","2",0.344774320703118,1
"7-8-9","1","1","1","2",0.180404571813216,3
"10","1","1","1","2",0.112841287653968,0
"11-12","1","1","1","2",1.91508326137666e-07,0
"1-2-3","2","1","1","2",0.499338768894315,0
"4","2","1","1","2",0.363532697054991,0
"5-6","2","1","1","2",0.482998303539166,0
"7-8-9","2","1","1","2",0.280990797271964,0
"10","2","1","1","2",0.184224367995476,0
"11-12","2","1","1","2",3.40014338194565e-07,0
"1-2-3","3","1","1","2",0.433927127199047,0
"4","3","1","1","2",0.305071012396265,0
