Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor,position_ancestor,position_mother,uc
no,,,yes,5,,,1.0,1,yes,no,F,L,L,50531
no,,,yes,4,,,1.0,1,yes,no,F,L,L,50536
no,,,yes,4,,,1.0,1,yes,no,F,L,L,50539
no,,,no,NA,,,0.0,1,yes,no,F,L,L,50542
no,,,yes,4,,,1.0,1,yes,no,F,L,L,50544
no,,,yes,5,,,1.0,1,yes,no,F,L,L,50549
no,,,no,NA,,,0.0,1,yes,no,F,L,L,50552
no,,,yes,5,,,1.0,1,yes,no,F,L,L,50554
no,,,no,NA,,,0.0,8,yes,no,F,A,A,50568
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50570
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50573
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50576
no,,,yes,5,,,1.0,1,yes,no,F,A,L,50579
no,,,yes,5,,,1.0,1,yes,no,F,A,L,50582
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50585
no,,,yes,3,,,3.0,1,yes,no,F,A,L,50588
no,,,yes,5,,,1.0,1,yes,no,F,A,L,50591
no,,,yes,3,,,4.0,1,yes,no,V,L,A,50595
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50600
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50603
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50606
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50609
no,,,yes,3,,,4.0,1,yes,no,V,L,A,50614
no,,,yes,5,,,1.0,1,yes,no,V,L,L,50617
no,,,yes,3,,,3.0,1,yes,no,V,L,L,50620
no,,,yes,5,,,1.0,1,yes,no,V,L,L,50623
no,,,yes,3,,,1.0,1,yes,no,V,L,L,50626
no,,,yes,3,,,2.0,1,yes,no,V,L,A,50630
no,,,yes,2,,,3.0,1,yes,no,V,A,A,50635
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50638
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50641
no,,,yes,5,,,1.0,12,yes,no,V,A,A,50646
no,,,yes,3,,,1.0,12,yes,no,V,A,L,50649
no,,,yes,5,,,1.0,12,yes,no,V,A,L,50652
no,,,yes,4,,,1.0,12,yes,no,V,A,L,50655
no,,,yes,5,,,1.0,12,yes,no,V,A,L,50658
no,,,no,NA,,,0.0,1,yes,no,V,L,A,50662
no,,,yes,5,,,1.0,1,yes,no,V,L,L,50664
no,,,no,NA,,,0.0,8,yes,no,F,A,A,50672
no,,,yes,5,,,1.0,1,yes,no,F,A,L,50674
no,,,yes,5,,,1.0,1,yes,no,F,A,L,50677
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50680
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50683
no,,,yes,6,,,1.0,1,yes,no,F,A,L,50709
no,,,yes,6,,,1.0,1,yes,no,F,A,L,50712
no,,,yes,5,,,1.0,1,yes,no,F,A,L,50715
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50718
no,,,yes,5,,,1.0,1,yes,no,F,A,L,50721
no,,,no,NA,,,0.0,1,yes,no,F,A,L,50727
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50729
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50732
no,,,yes,6,,,1.0,1,yes,no,F,A,L,50741
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50744
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50747
no,,,yes,5,,,1.0,1,yes,no,F,A,L,53433
no,,,yes,5,,,1.0,1,yes,no,F,A,L,53436
no,,,yes,5,,,1.0,1,yes,no,F,A,L,53439
no,,,yes,4,,,1.0,1,yes,no,F,A,L,53442
no,,,yes,5,,,1.0,1,yes,no,F,A,L,53445
no,,,yes,4,,,1.0,1,yes,no,F,A,L,53448
no,,,yes,4,,,1.0,1,yes,no,F,A,L,53451
no,,,yes,4,,,1.0,1,yes,no,F,L,L,53456
no,,,yes,4,,,1.0,1,yes,no,F,L,L,53459
no,,,yes,5,,,1.0,1,yes,no,F,L,L,53462
no,,,yes,5,,,1.0,1,yes,no,F,L,L,53465
no,,,no,NA,,,0.0,10,yes,no,F,A,A,53477
no,,,no,NA,,,0.0,1,yes,no,F,A,L,53479
no,,,yes,5,,,1.0,1,yes,no,F,A,L,53481
no,,,yes,4,,,1.0,1,yes,no,F,A,L,53484
no,,,yes,10,,,,1,yes,no,F,A,L,53487
no,,,yes,4,,,1.0,1,yes,no,F,A,L,53490
no,,,no,NA,,,0.0,1,yes,no,F,A,L,53493
no,,,yes,4,,,2.0,1,yes,no,F,A,L,53495
no,,,yes,4,,,1.0,1,yes,no,F,A,L,53498
