Burst,Burst_date_child,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother,position_mother,tree,uc
yes,10.0,yes,5.0,unknow,no,V,A,B14,46422
yes,10.0,no,,unknow,no,V,L,B14,46423
yes,10.0,yes,3.0,unknow,no,V,L,B14,46424
yes,9.0,yes,2.0,unknow,no,V,L,B14,46425
no,,,,unknow,no,V,A,B14,46885
no,,,,unknow,no,F,A,B14,46888
no,,,,unknow,no,F,L,B14,46889
yes,10.0,yes,3.0,unknow,no,V,A,B14,46896
no,,,,unknow,no,F,L,B14,46897
yes,10.0,yes,1.0,unknow,no,V,L,B14,46898
no,,,,unknow,no,V,L,B14,46899
yes,10.0,yes,1.0,unknow,no,V,A,B14,47166
yes,11.0,yes,3.0,unknow,no,F,A,B14,47249
yes,10.0,no,,unknow,no,F,L,B14,47250
yes,10.0,yes,1.0,unknow,no,F,A,B14,47272
no,,,,unknow,no,F,A,B14,47281
no,,,,unknow,no,F,A,B14,47283
yes,10.0,yes,4.0,unknow,no,V,A,B14,47285
yes,10.0,yes,1.0,unknow,no,V,L,B14,47286
yes,10.0,yes,3.0,unknow,no,V,A,B14,47343
yes,11.0,yes,4.0,unknow,no,V,A,B14,47509
no,,,,unknow,no,F,A,B14,47597
yes,10.0,yes,3.0,unknow,no,V,A,B14,47599
yes,10.0,no,,unknow,no,V,L,B14,47600
yes,9.0,yes,1.0,unknow,no,V,L,B14,47601
yes,10.0,yes,2.0,unknow,no,V,A,B14,47918
yes,10.0,yes,2.0,unknow,no,V,A,B14,47926
yes,11.0,yes,4.0,unknow,no,V,A,B14,47969
yes,11.0,yes,5.0,unknow,no,V,A,B14,48137
yes,11.0,yes,2.0,unknow,no,V,L,B14,48138
yes,11.0,yes,4.0,unknow,no,V,A,B14,48469
yes,11.0,no,,unknow,no,V,L,B14,48470
yes,10.0,no,,unknow,no,V,A,B14,48515
yes,11.0,yes,1.0,unknow,no,V,A,B14,48518
yes,11.0,yes,4.0,unknow,no,V,A,B14,48549
yes,11.0,yes,4.0,unknow,no,V,A,B14,48643
yes,11.0,yes,1.0,unknow,no,V,A,B14,48833
yes,11.0,no,,unknow,no,V,A,B14,48891
yes,11.0,no,,unknow,no,V,L,B14,48892
yes,11.0,yes,4.0,unknow,no,V,A,B14,48947
yes,11.0,no,,unknow,no,V,L,B14,48948
yes,11.0,no,,unknow,no,V,L,B14,48949
yes,10.0,yes,5.0,unknow,no,V,A,B14,49075
yes,9.0,no,,unknow,no,V,L,B14,49076
yes,10.0,yes,1.0,unknow,no,V,L,B14,49077
no,,,,unknow,no,V,L,B14,49078
no,,,,unknow,no,F,A,B14,49327
yes,10.0,no,,unknow,no,V,L,B14,49328
yes,12.0,yes,1.0,unknow,no,V,A,B14,49349
yes,10.0,yes,1.0,unknow,no,V,A,B14,49353
yes,11.0,yes,1.0,unknow,no,V,L,B14,49354
yes,10.0,yes,3.0,unknow,no,V,A,B14,49483
yes,10.0,yes,4.0,unknow,no,V,A,B14,49569
no,,,,unknow,no,V,L,B14,49570
yes,10.0,yes,3.0,unknow,no,V,L,B14,49571
yes,10.0,yes,2.0,unknow,no,V,L,B14,49572
yes,10.0,no,,unknow,no,V,L,B14,49573
yes,4.0,yes,4.0,unknow,no,F,A,B14,49998
no,,,,unknow,no,F,L,B14,49999
no,,,,unknow,no,F,L,B14,50000
no,,,,unknow,no,F,L,B14,50001
yes,10.0,yes,3.0,unknow,no,V,A,B14,50017
yes,10.0,no,,unknow,no,V,L,B14,50018
yes,10.0,yes,1.0,unknow,no,V,L,B14,50019
no,,,,unknow,no,V,L,B14,50020
yes,9.0,yes,1.0,unknow,no,V,A,B14,50080
yes,10.0,yes,1.0,unknow,no,V,L,B14,50081
no,,,,unknow,no,V,L,B14,50082
yes,10.0,yes,2.0,unknow,no,V,L,B14,50083
yes,9.0,yes,5.0,unknow,no,V,A,B14,50284
yes,9.0,yes,2.0,unknow,no,V,L,B14,50285
yes,9.0,yes,1.0,unknow,no,V,L,B14,50286
no,,,,unknow,no,F,L,B14,50287
yes,10.0,no,,unknow,no,F,L,B14,50288
no,,,,unknow,no,F,A,B14,50558
yes,9.0,yes,2.0,unknow,no,V,A,B14,50560
yes,9.0,no,,unknow,no,V,L,B14,50561
no,,,,unknow,no,V,A,B14,50698
yes,10.0,yes,2.0,unknow,no,F,A,B14,50699
no,,,,unknow,no,F,L,B14,50700
yes,12.0,yes,3.0,unknow,no,F,L,B14,50701
yes,10.0,no,,unknow,no,V,A,F6,53426
yes,10.0,yes,3.0,unknow,no,V,A,F6,53467
yes,10.0,yes,1.0,unknow,no,V,L,F6,53468
no,,,,unknow,no,F,L,F6,53469
yes,10.0,no,,unknow,no,V,L,F6,53470
yes,10.0,no,,unknow,no,V,A,F6,53842
yes,10.0,yes,1.0,unknow,no,V,A,F6,53859
yes,12.0,yes,2.0,unknow,no,F,A,F6,53928
yes,12.0,yes,5.0,unknow,no,F,A,F6,53979
no,,,,unknow,no,F,L,F6,53980
yes,12.0,yes,4.0,unknow,no,F,L,F6,53981
yes,12.0,yes,1.0,unknow,no,F,L,F6,53982
yes,10.0,yes,1.0,unknow,no,F,L,F6,53983
yes,3.0,yes,2.0,unknow,no,F,L,F6,53984
yes,12.0,yes,4.0,unknow,no,F,A,F6,54270
no,,,,unknow,no,F,L,F6,54271
yes,10.0,yes,2.0,unknow,no,V,L,F6,54272
no,,,,unknow,no,F,L,F6,54273
yes,12.0,yes,5.0,unknow,no,F,A,F6,54593
no,,,,unknow,no,F,L,F6,54594
no,,,,unknow,no,F,L,F6,54595
no,,,,unknow,no,F,L,F6,54596
yes,1.0,yes,2.0,unknow,no,F,L,F6,54597
yes,12.0,no,,unknow,no,V,L,F6,54598
yes,12.0,yes,3.0,unknow,no,F,A,F6,54654
yes,12.0,yes,3.0,unknow,no,F,A,F6,54668
yes,10.0,yes,3.0,unknow,no,V,A,F6,54694
yes,1.0,no,,unknow,no,V,L,F6,54695
yes,10.0,yes,1.0,unknow,no,V,L,F6,54696
yes,10.0,yes,2.0,unknow,no,V,L,F6,54697
yes,9.0,no,,unknow,no,V,L,F6,54698
yes,12.0,no,,unknow,no,V,A,F6,55191
yes,12.0,yes,3.0,unknow,no,F,A,F6,55208
yes,10.0,no,,unknow,no,F,L,F6,55209
yes,12.0,yes,2.0,unknow,no,F,A,F6,55226
yes,12.0,yes,3.0,unknow,no,V,A,F6,55244
no,,,,unknow,no,F,L,F6,55245
yes,10.0,no,,unknow,no,V,L,F6,55246
