"Flowering_Week","Nb_Inflorescences","Position_Ancestor_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"5","1","0","1",0.00570270802876427,0.0143388684721474,0.0174663717305616,0.0706574594026985,0.212777754118025,0.295272227948785,0.232004953484253,0.0949382197183581,0.0568414370964082
"6","1","0","1",0.00306761301231724,0.00778551680257353,0.00962592318550261,0.0406146323186125,0.141182421366109,0.260499635181452,0.287113652514329,0.149121336943666,0.100989268675438
"7","1","0","1",0.00141262430508093,0.0036063474665892,0.00450125926825421,0.0195252574140039,0.0753569462478985,0.179277128421524,0.29586723141159,0.224088432299142,0.196364773165918
"8","1","0","1",0.000992888302140672,0.00253857546402327,0.00317618297121837,0.0138767447231632,0.0551165763603064,0.141970336287697,0.274306056347265,0.249979614095741,0.258043025448444
"9","1","0","1",0.00256913288564988,0.0065319375121183,0.00809899736755328,0.0344545887147972,0.123437375319777,0.24387768718694,0.296111362709478,0.166600291836069,0.118318626467616
"1","2","0","1",0.0529174895205705,0.113219225251028,0.109036852671131,0.266435902929389,0.279957774695851,0.118343724321378,0.0420524724583528,0.0118882534175307,0.00614830473476935
"3","2","0","1",0.00267262713361734,0.00679257129983552,0.008417185346799,0.0357467980949137,0.127255844917183,0.247753775120265,0.294440665655706,0.16267064063134,0.114249891800339
"4","2","0","1",0.0178767585273888,0.0430728649037982,0.0491138227567879,0.167869260277477,0.322061018937701,0.235955902787111,0.110676877341031,0.0347375006601841,0.0186359938085203
"5","2","0","1",0.0056315186534652,0.0141634337490717,0.0172595643121101,0.069898201637227,0.211243344299381,0.295027203118601,0.23336342972187,0.0958907696976647,0.0575225348106096
"6","2","0","1",0.00302921845213859,0.00768912012811046,0.00950881801888679,0.0401458553060507,0.139872196687142,0.259391156832196,0.287876057749801,0.150345502102801,0.102142074722874
"7","2","0","1",0.00139491477070598,0.00356136045532288,0.00444556126646652,0.0192894730866016,0.0745357409959468,0.177892326526183,0.295345902892676,0.225168642830051,0.198366077176046
"8","2","0","1",0.000980435672191794,0.00250684823810515,0.00313671194164617,0.0137072304170539,0.0544904891615202,0.140705881092386,0.273292538795682,0.250710666091775,0.260469198589639
"9","2","0","1",0.00253696147716055,0.00645087979548263,0.00799996277854458,0.0340514709639989,0.122235508523274,0.242622672179327,0.296602675723733,0.167856945145385,0.119642923413094
"1","3","0","1",0.182380358618453,0.260640986693673,0.159461067082275,0.222600696612198,0.123321626309198,0.0358339093959246,0.011181524321791,0.00303263256486841,0.00154719840161865
"3","3","0","1",0.0105850867139641,0.0261614078946597,0.0310180988812332,0.116729433940383,0.284044251013249,0.281148504582581,0.162780373609703,0.0562346437167403,0.0312981996474878
"4","3","0","1",0.0677443591748457,0.138048859696075,0.124746783874521,0.275240568683372,0.251120763930245,0.0962452268360089,0.0329269710792025,0.00919227130100964,0.00473419542472109
"5","3","0","1",0.0221097397876526,0.0524971797603124,0.0585583812284712,0.190297523489862,0.3272729770374,0.212830386500254,0.0930130729840123,0.0283629075314379,0.0150578316805976
"6","3","0","1",0.0119846999859904,0.0294756468291783,0.0346825791041025,0.128001286900745,0.29575252561428,0.272613990787392,0.149482218850758,0.0503007109762099,0.0277063409513445
